model,mae_mean,mae_std,rmse_mean,rmse_std,log_loss_mean,log_loss_std,brier_mean,brier_std,roc_auc_mean,roc_auc_std,accuracy_mean
Gradient Boosting,9.680582615520711,0.2496676414720399,12.748559469117456,0.2947726144357357,0.47494177574377083,0.024097800303554375,0.1543699763118746,0.00928289472641896,0.8388598543875115,0.02302832306241464,0.7858352499277907
Lasso,9.961785353702005,0.3374679289207466,13.382954591186945,0.4617274952049838,0.4857451014860656,0.02409564099246971,0.15796836913692128,0.00935467236688116,0.8357394039501627,0.02679035367128778,0.7809877189445723
ElasticNet,9.966741442866544,0.33976008563816246,13.393926118000948,0.46499984669697036,0.4857635619738506,0.02408933672252941,0.15797629836950197,0.009354384346397392,0.8357741148731082,0.026703144862828408,0.7813952760202072
Ridge,9.959967044752911,0.33740484257331,13.376663544620294,0.46167238091282375,0.48580348994842054,0.024054115868680035,0.15798824451612117,0.00932258129405486,0.8355089405122456,0.02683730782943999,0.7820639721557886
Linear Regression,9.959931874407904,0.33740981644139634,13.376482619048124,0.4616060329979704,0.48580371592906707,0.024053934446191357,0.15798797661771508,0.009321933786180743,0.8355051230329543,0.0268340660919604,0.7820639721557886
LinearSVR,10.081864930295557,0.40510552750812767,13.682756024171644,0.5966110600397072,0.4923479173999386,0.0255291709494391,0.160384571333878,0.009861130749863417,0.8338602516428335,0.026472218542205033,0.7816270974659385
